idx, sentence
10,tác_phẩm dự giải báo_chí toàn_quốc về xây_dựng đảng gửi về tạp_chí xây_dựng đảng số 69 phan_đình_phùng ba_đình hà_nội
11,email bualiemvangxaydungdangvn bualiemvangtccsorgvn
12,phát_biểu buổi họp_báo ủy_viên bộ chính_trị trưởng_ban tổ_chức trung_ương phạm_minh_chính nhấn_mạnh báo_cáo chính_trị đại_hội_đảng_toàn_quốc lần thứ 12 xác_định tiếp_tục đổi_mới nội_dung phương_thức nâng cao hơn tính chiến_đấu tính thuyết_phục hiệu_quả công_tác tư_tưởng phục_vụ yêu_cầu thực_hiện nhiệm_vụ chính_trị phù_hợp giai_đoạn tạo thống_nhất trong đảng đồng_thuận trong xã_hội
13,“ năm 2016 năm đầu_tiên thực_hiện nghị_quyết đại_hội đảng_toàn_quốc lần thứ 12 năm giải búa_liềm vàng năm thứ nhất trao dịp sinh_nhật đảng 3/2/2017
14,dấu mốc ý_nghĩa sâu_sắc đối_với công_tác tư_tưởng tuyên_truyền vận_động thuyết_phục toàn đảng toàn dân toàn_thể nền báo_chí nước_nhà thực_hiện trọng_trách mình góp_phần sự_nghiệp xây_dựng đảng xây_dựng hệ_thống chính_trị góp_phần thực_hiện mục_tiêu dân giàu nước mạnh dân_chủ công_bằng văn_minh ” ông phạm_minh_chính nói
15,“ trong vấn_đề cơ_bản quan_trọng về đảng công_tác xây_dựng đảng hiện_nay
16,xin nhấn_mạnh hệ_thống chính_trị nhất_là tòa_soạn tập_trung tâm huyết trí_tuệ công_sức dành nghiên_cứu thông_tin tuyên_truyền vận_động thuyết_phục vấn_đề mới khó tính quy_luật về đảng_cộng_sản_việt_nam cầm_quyền làm thế_nào cụ_thể_hóa cương_lĩnh nghị_quyết giải_quyết vấn_đề nảy_sinh thực_tiễn xây_dựng đảng trong_sạch vững_mạnh góp_phần ngăn_chặn đẩy_lùi tiêu_cực tham_nhũng lãng_phí quan_liêu xuất_phát thực_tế tôn_trọng hành_động quy_luật khác quan đảng thực_hiện sứ_mệnh cầm_quyền nguyên_tắc cầm_quyền nội_dung cầm_quyền phương_thức cầm_quyền cơ_sở cầm_quyền nguy_cơ đối_với cầm_quyền đảng ” ông phạm_minh_chính đặt vấn_đề
17,trưởng_ban tổ_chức trung_ương đề_nghị tất_cả người quan_tâm đến đến công_tác báo_chí tuyên_truyền giới báo_chí nước_nhà tiếp_tục phối hợp_đồng_bộ chặt_chẽ hiệu_quả giải_quyết vấn_đề nhằm góp_phần trực_tiếp nâng cao vị_thế cầm_quyền năng_lực cầm_quyền sức_mạnh uy_tín cầm_quyền trách_nhiệm cầm_quyền đảng ta ngang tầm nhiệm_vụ chính_trị yêu_cầu phát_triển sự_nghiệp đổi_mới toàn_diện đồng_bộ hội_nhập quốc_tế hiện_nay
18,trao_đổi báo_chí bộ_trưởng bộ thông_tin truyền_thông trương_minh_tuấn công_tác xây_dựng đảng nhiệm_vụ quản trọng đòi_hỏi tham_gia hệ_thống chính_trị trong yêu_cầu đổi_mới phương_thức lãnh_đạo đảng trong đảng lãnh_đạo bao_gồm mặt chính_trị tư_tưởng tổ_chức kiểm_tra
19,báo_chí căn_cứ thế mạnh loại_hình cơ_quan báo_chí khai_thác đề_tài phù_hợp
20,ví_dụ tạp_chí đi công_tác lý_luận hiện_nay còn cơ_quan báo_chí bám sát thực_tiễn phản_ánh tốt gương_sáng trong xây_dựng đảng ý_kiến đóng_góp đảng về nguy_cơ cầm_quyền đối_với lãng_đạo đảng
21,“ đảng mạnh chi_bộ mạnh chi_bộ mạnh đảng_viên hăng_hái cho_nên báo_chí phản_ánh thực_tế chi_bộ đảng_viên ” bộ_trưởng trương_minh_tuấn nhấn_mạnh
